Area,Category,Item,Description,Date,Orders,Type of Order
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-03,140,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-02-07,64,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-09-20,58,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-05-18,179,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-11-11,84,Takeaway
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-01-05,195,Dining
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-03-06,90,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-16,64,Dining
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-11-09,21,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-27,36,Dining
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-10-29,80,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-08-31,135,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-08-28,180,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-04-15,81,Online
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-21,56,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-04-05,56,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2021-12-11,112,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-06,21,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-04,55,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-02-09,164,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-04-24,97,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-27,153,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-06-11,107,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-26,47,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-04-16,11,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-09-13,117,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-11-20,178,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2021-12-29,144,Online
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-19,116,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-13,110,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-12-03,42,Takeaway
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-09-05,1,Dining
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-12-28,126,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-07-28,144,Online
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-01-29,14,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-09-06,23,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-10,67,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-06-19,7,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-20,199,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-06-06,176,Takeaway
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-01-31,127,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-08,74,Dining
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-08-16,15,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-11-29,133,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-05,112,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-12-01,172,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-07,45,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-09-04,146,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-08,7,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-05,42,Takeaway
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-04-08,47,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-17,143,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-07-29,105,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-20,76,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-08-27,131,Takeaway
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-05-14,175,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-05-21,111,Takeaway
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-01-09,164,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2021-11-03,51,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-06-18,79,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-19,25,Dining
Mystic Falls,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-08-01,84,Dining
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-03-01,25,Takeaway
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-05-22,28,Online
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-12,94,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-07-26,26,Online
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-10-17,22,Dining
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-05-25,195,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-12,120,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-05-04,137,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-01-04,73,Takeaway
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-05,81,Takeaway
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-05-26,45,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2021-11-23,46,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-10-20,178,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-06-16,44,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-03-29,113,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-07-14,187,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-09,163,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-02,18,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-03-15,111,Online
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-06-29,161,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-24,131,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-30,15,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-07-25,152,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-04-05,111,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-05,20,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-04-27,132,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-17,142,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-10-04,133,Takeaway
Elysium District,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-06-24,46,Takeaway
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-03-07,1,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-02-16,28,Online
Elysium District,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-11-13,161,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-30,28,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-05-16,43,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-21,141,Online
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-10,44,Online
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-08-21,57,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-07-10,140,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-31,129,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-04-19,11,Takeaway
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-10,164,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-01-22,158,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-07-29,180,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-10-30,154,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-02-09,33,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-06-29,83,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-06,166,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-14,143,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-03-25,46,Takeaway
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-02-08,70,Takeaway
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-04-01,190,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-12-07,41,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-12,57,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-03-22,172,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-25,114,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-15,160,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-15,144,Takeaway
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-07-19,159,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-27,182,Takeaway
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-09-06,151,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-12-24,68,Dining
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-08-09,66,Takeaway
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-12,134,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-05-05,83,Online
Mystic Falls,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-02-19,194,Dining
Cyber City,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-08-18,136,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-01-17,110,Dining
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-04,74,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-11-10,152,Takeaway
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-06-24,46,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-01-28,167,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-06-20,15,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-05-04,24,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-07-17,178,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-24,150,Dining
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-12-28,29,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-25,110,Dining
Cyber City,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-03-14,185,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-05,164,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-11-04,53,Online
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-11-05,110,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2021-11-06,174,Dining
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-01-14,158,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-16,80,Dining
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-05-10,155,Online
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-10-01,172,Dining
Elysium District,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-08-29,35,Online
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-02-14,152,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-03-05,172,Dining
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-03-26,108,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-26,15,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-04-12,137,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-03-29,10,Takeaway
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-12-25,111,Dining
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-15,63,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-03-12,192,Dining
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-07-09,100,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-07,77,Online
